iter	Passed	Remaining
0	165	165735
1	197	98524
2	232	77326
3	272	67764
4	306	60951
5	337	55919
6	371	52698
7	410	50929
8	443	48815
9	482	47799
10	521	46895
11	562	46292
12	604	45887
13	640	45126
14	679	44608
15	719	44267
16	766	44305
17	802	43799
18	836	43211
19	868	42575
20	898	41880
21	930	41376
22	1041	44245
23	1091	44391
24	1129	44040
25	1176	44078
26	1216	43852
27	1249	43380
28	1283	42989
29	1316	42552
30	1347	42131
31	1381	41786
32	1438	42149
33	1471	41820
34	1502	41434
35	1534	41099
36	1565	40755
37	1602	40564
38	1644	40533
39	1683	40412
40	1721	40273
41	1761	40170
42	1797	40000
43	1829	39760
44	1858	39433
45	1889	39178
46	1918	38900
47	1950	38686
48	1986	38563
49	2026	38509
50	2058	38307
51	2088	38082
52	2118	37861
53	2145	37584
54	2174	37360
55	2201	37114
56	2231	36914
57	2272	36913
58	2309	36828
59	2343	36709
60	2372	36528
61	2403	36367
62	2435	36223
63	2461	36005
64	2494	35885
65	2522	35692
66	2548	35491
67	2576	35317
68	2606	35162
69	2635	35014
70	2662	34837
71	2687	34644
72	2716	34501
73	2746	34374
74	2774	34218
75	2800	34051
76	2828	33909
77	2854	33741
78	2884	33631
79	2916	33537
80	2943	33391
81	2971	33260
82	2996	33102
83	3030	33048
84	3060	32949
85	3090	32848
86	3118	32731
87	3147	32621
88	3175	32506
89	3201	32375
90	3231	32276
91	3260	32179
92	3286	32049
93	3311	31915
94	3339	31809
95	3365	31688
96	3396	31615
97	3427	31548
98	3456	31461
99	3490	31413
100	3519	31331
101	3546	31219
102	3574	31130
103	3608	31088
104	3637	31001
105	3667	30935
106	3695	30838
107	3726	30777
108	3752	30671
109	3783	30613
110	3812	30536
111	3839	30441
112	3870	30385
113	3899	30308
114	3928	30232
115	3956	30150
116	3989	30105
117	4015	30016
118	4050	29984
119	4082	29936
120	4109	29856
121	4137	29778
122	4166	29704
123	4197	29651
124	4226	29585
125	4253	29506
126	4285	29460
127	4313	29382
128	4345	29343
129	4378	29303
130	4406	29227
131	4437	29179
132	4465	29112
133	4496	29059
134	4522	28977
135	4556	28947
136	4588	28904
137	4620	28858
138	4652	28817
139	4681	28754
140	4711	28705
141	4740	28644
142	4769	28581
143	4801	28543
144	4830	28482
145	4864	28455
146	4892	28391
147	4924	28347
148	4950	28275
149	4980	28223
150	5010	28170
151	5044	28145
152	5079	28117
153	5113	28091
154	5139	28020
155	5167	27958
156	5198	27913
157	5230	27875
158	5260	27823
159	5289	27767
160	5316	27707
161	5341	27632
162	5370	27574
163	5396	27506
164	5424	27452
165	5453	27398
166	5479	27333
167	5509	27282
168	5538	27235
169	5571	27201
170	5598	27141
171	5625	27080
172	5654	27028
173	5681	26970
174	5719	26962
175	5746	26905
176	5776	26857
177	5802	26794
178	5831	26744
179	5858	26686
180	5884	26624
181	5911	26571
182	5942	26530
183	5974	26493
184	6001	26437
185	6028	26383
186	6053	26320
187	6086	26289
188	6114	26238
189	6145	26200
190	6181	26181
191	6209	26130
192	6235	26073
193	6260	26011
194	6286	25951
195	6313	25897
196	6343	25857
197	6373	25816
198	6407	25791
199	6437	25751
200	6464	25695
201	6492	25649
202	6523	25611
203	6555	25577
204	6583	25532
205	6614	25495
206	6648	25468
207	6679	25433
208	6709	25394
209	6742	25362
210	6775	25334
211	6806	25299
212	6836	25259
213	6870	25233
214	6903	25205
215	6934	25170
216	6964	25129
217	6991	25077
218	7023	25048
219	7052	25004
220	7089	24990
221	7123	24965
222	7154	24927
223	7186	24897
224	7216	24855
225	7245	24815
226	7277	24783
227	7311	24755
228	7342	24719
229	7374	24689
230	7407	24659
231	7442	24637
232	7476	24612
233	7512	24592
234	7544	24558
235	7591	24576
236	7635	24582
237	7663	24536
238	7698	24513
239	7731	24483
240	7767	24462
241	7799	24429
242	7831	24396
243	7864	24367
244	7908	24372
245	7941	24342
246	7982	24334
247	8017	24311
248	8051	24283
249	8083	24251
250	8119	24229
251	8151	24194
252	8187	24173
253	8222	24148
254	8272	24168
255	8302	24128
256	8333	24092
257	8361	24047
258	8392	24010
259	8425	23981
260	8454	23937
261	8482	23894
262	8512	23855
263	8545	23822
264	8581	23800
265	8615	23772
266	8643	23727
267	8671	23686
268	8704	23655
269	8731	23608
270	8761	23567
271	8788	23522
272	8819	23486
273	8848	23444
274	8878	23407
275	8904	23358
276	8936	23325
277	8965	23285
278	8994	23245
279	9022	23200
280	9063	23189
281	9136	23261
282	9178	23254
283	9216	23235
284	9248	23203
285	9281	23170
286	9308	23125
287	9338	23087
288	9364	23038
289	9394	23000
290	9422	22958
291	9454	22924
292	9481	22879
293	9510	22837
294	9544	22810
295	9577	22778
296	9608	22742
297	9636	22701
298	9669	22671
299	9704	22642
300	9735	22608
301	9765	22569
302	9792	22526
303	9828	22502
304	9854	22456
305	9882	22413
306	9913	22377
307	9943	22340
308	9977	22311
309	10004	22268
310	10034	22229
311	10065	22196
312	10094	22156
313	10123	22118
314	10159	22092
315	10187	22052
316	10223	22028
317	10254	21992
318	10288	21963
319	10318	21927
320	10348	21889
321	10379	21855
322	10411	21821
323	10439	21780
324	10467	21740
325	10495	21699
326	10524	21661
327	10561	21638
328	10598	21616
329	10632	21587
330	10672	21571
331	10707	21544
332	10752	21537
333	10783	21502
334	10818	21476
335	10852	21445
336	10880	21406
337	10910	21369
338	10945	21342
339	10973	21301
340	11016	21290
341	11042	21245
342	11073	21210
343	11100	21168
344	11132	21135
345	11160	21094
346	11194	21066
347	11223	21028
348	11257	20999
349	11284	20957
350	11316	20923
